,NAME,ADDRESS,CITY,STATE,ZIP,OWNER,BEDS,RATING
1092,J. PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,GOVERNMENT - LOCAL,30.0,2.6
1093,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K. WILSON DRIVE,CARROLLTON,AL,35447,GOVERNMENT - DISTRICT/AUTHORITY,56.0,3.6
1094,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,GOVERNMENT - DISTRICT/AUTHORITY,35.0,2.7
1095,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,GOVERNMENT - LOCAL,25.0,2.9
1096,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 U.S. HIGHWAY 80, EAST",DEMOPOLIS,AL,36732,GOVERNMENT - DISTRICT/AUTHORITY,99.0,2.6
1097,LAUREL OAKS BEHAVIORAL HEALTH CENTER,700 EAST COTTONWOOD ROAD,DOTHAN,AL,36301,PROPRIETARY,38.0,2.2
1098,"NOLAND HOSPITAL DOTHAN, LLC","1108 ROSS CLARK CIRCLE,4TH FLOOR",DOTHAN,AL,36302,PROPRIETARY,38.0,3.2
1099,MEDICAL CENTER ENTERPRISE,400 NORTH EDWARDS STREET,ENTERPRISE,AL,36330,PROPRIETARY,131.0,3.6
1100,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,PROPRIETARY,58.0,2.5
1101,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE, NORTH",FAYETTE,AL,35555,GOVERNMENT - DISTRICT/AUTHORITY,61.0,3.9
1102,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY,GADSDEN,AL,35904,PROPRIETARY,68.0,2.9
1103,WIREGRASS MEDICAL CENTER,1200 WEST MAPLE AVENUE,GENEVA,AL,36340,GOVERNMENT - DISTRICT/AUTHORITY,83.0,2.7
1104,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35999,PROPRIETARY,281.0,3.1
1105,L. V. STABLER MEMORIAL HOSPITAL,29 L. V. STABLER DRIVE,GREENVILLE,AL,36037,PROPRIETARY,72.0,2.4
1106,HALE COUNTY HOSPITAL,508 GREENE STREET,GREENSBORO,AL,36744,GOVERNMENT - LOCAL,39.0,4.4
1107,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DRIVE,HUNTSVILLE,AL,35801,PROPRIETARY,147.0,3.7
1108,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC.",5315 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806,PROPRIETARY,20.0,3.6
1109,FOX ARMY HEALTH CENTER: LAMBERT RHONDA W,4100 GOSS RD SW,HUNTSVILLE,AL,35890,GOVERNMENT - FEDERAL,-999.0,N/A
1110,"HUNTSVILLE HOSPITAL, THE",101 SIVLEY ROAD,HUNTSVILLE,AL,35801,GOVERNMENT - DISTRICT/AUTHORITY,881.0,2.6
1111,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,PROPRIETARY,35.0,2.1
1112,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,PROPRIETARY,104.0,2.5
1113,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78, EAST",JASPER,AL,35502,PROPRIETARY,267.0,2.9
1114,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,PROPRIETARY,65.0,3.1
1115,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CENTER,MOBILE,AL,36652,NON-PROFIT,677.0,N/A
1116,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,NON-PROFIT,263.0,2.9
1117,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36111,GOVERNMENT - DISTRICT/AUTHORITY,454.0,4.6
1118,HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE ROAD,MONTGOMERY,AL,36116,PROPRIETARY,70.0,3.4
1119,JACKSON HOSPITAL AND CLINIC,1725 PINE STREET,MONTGOMERY,AL,36106,NON-PROFIT,344.0,2.8
1120,"NOLAND HOSPITAL MONTGOMERY, LLC","1725 PINE STREET,5TH FLOOR, NORTH WING",MONTGOMERY,AL,36106,PROPRIETARY,65.0,N/A
1121,MIZELL MEMORIAL HOSPITAL,702 MAIN STREET,OPP,AL,36467,NON-PROFIT,99.0,2.8
1122,DALE MEDICAL CENTER,126 HOSPITAL AVENUE,OZARK,AL,36360,PROPRIETARY,89.0,2.9
1123,ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,NON-PROFIT,40.0,2.7
1124,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,GOVERNMENT - DISTRICT/AUTHORITY,25.0,3.2
1125,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,PROPRIETARY,100.0,2.5
1126,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,GOVERNMENT - DISTRICT/AUTHORITY,170.0,2.3
1127,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,PROPRIETARY,175.0,2.2
1128,HELEN KELLER MEMORIAL HOSPITAL,1301 S.MONTGOMERY AVENUE,SHEFFIELD,AL,35660,GOVERNMENT - DISTRICT/AUTHORITY,185.0,3.5
1129,COOSA VALLEY MEDICAL CENTER,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,NON-PROFIT,163.0,3.2
1130,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,NON-PROFIT,122.0,2.9
1131,MARY S. HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35402,GOVERNMENT - STATE,-999.0,N/A
1132,"NOLAND HOSPITAL TUSCALOOSA, LLC","809 UNIVERSITY BLVD EAST,4TH FLOOR",TUSCALOOSA,AL,35401,PROPRIETARY,32.0,N/A
1133,VA MEDICAL CENTER - TUSCALOOSA,3701 LOOP RD E,TUSCALOOSA,AL,35401,GOVERNMENT - FEDERAL,-999.0,N/A
1134,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL RD,TUSKEGEE,AL,36083,GOVERNMENT - FEDERAL,-999.0,N/A
1135,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,PROPRIETARY,61.0,3.4
1136,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,PROPRIETARY,69.0,2.6
1137,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,NON-PROFIT,33.0,2.6
1138,STAMFORD HOSPITAL,"30 SHELBURNE ROAD,PO BOX 9317",STAMFORD,CT,6904,NON-PROFIT,305.0,N/A
1139,NORWALK HOSPITAL,34 MAPLE ST,NORWALK,CT,6856,NON-PROFIT,328.0,2.8
1140,MAJOR HOSPITAL,150 W WASHINGTON ST,SHELBYVILLE,IN,46176,GOVERNMENT - LOCAL,72.0,N/A
1141,MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,1625 E JEFFERSON BLVD,MISHAWAKA,IN,46545,PROPRIETARY,30.0,N/A
1142,COMMUNITY WESTVIEW HOSPITAL,3630 GUION RD,INDIANAPOLIS,IN,46222,NON-PROFIT,68.0,3.6
1143,SELECT SPECIALTY HOSPITAL-FORT WAYNE,"700 BROADWAY,7TH FL E",FORT WAYNE,IN,46802,PROPRIETARY,32.0,1.0
1144,STRATEGIC BEHAVIORAL CENTER LELAND,2050 MERCANTILE DRIVE,LELAND,NC,28451,PROPRIETARY,112.0,2.4
1145,VERITAS COLLABORATIVE NORTH CAROLINA LLC,615 DOUGLAS STREET,DURHAM,NC,27705,PROPRIETARY,-999.0,2.8
1146,OLD VINEYARD YOUTH SERVICES,3637 OLD VINEYARD ROAD,WINSTON SALEM,NC,27104,PROPRIETARY,-999.0,2.4
1147,BEHAVIORAL HEALTH HOSPITAL,700 WALTER REED DRIVE,GREENSBORO,NC,27403,NON-PROFIT,80.0,2.6
1148,WOMEN'S HOSPITAL,801 GREEN VALLEY ROAD,GREENSBORO,NC,27408,NON-PROFIT,134.0,N/A
1149,GOOD HOPE HOSPITAL,P.O. BOX 639,ERWIN,NC,28339,PROPRIETARY,16.0,N/A
1150,HAYWOOD REGIONAL MEDICAL CENTER,262 LEROY GEORGE DRIVE,CLYDE,NC,28721,GOVERNMENT - DISTRICT/AUTHORITY,190.0,2.8
1151,UNC LENOIR HEALTH CARE,100 AIRPORT ROAD,KINSTON,NC,28503,NON-PROFIT,261.0,2.5
1152,CAROLINAS HEALTHCARE SYSTEM PINEVILLE,10628 PARK RD,CHARLOTTE,NC,28210,GOVERNMENT - DISTRICT/AUTHORITY,206.0,2.5
1153,CAROLINAS HEALTHCARE SYSTEM UNIVERSITY,8800 NORTH TRYON STREET,CHARLOTTE,NC,28256,GOVERNMENT - DISTRICT/AUTHORITY,100.0,2.5
1154,STRATEGIC BEHAVIORAL CENTER CHARLOTTE,1715 SHARON ROAD WEST,CHARLOTTE,NC,28210,PROPRIETARY,60.0,2.5
1155,CAROLINAS MEDICAL CENTER,1000 BLYTHE BOULEVARD,CHARLOTTE,NC,28232,GOVERNMENT - DISTRICT/AUTHORITY,1023.0,3.3
1156,CAROLINAS MEDICAL CENTER FOR MENTAL HEALTH,501 BILLINGSLEY RD,CHARLOTTE,NC,28211,NON-PROFIT,132.0,2.4
1157,ORTHOINDY HOSPITAL,8400 NORTHWEST BLVD,INDIANAPOLIS,IN,46278,PROPRIETARY,38.0,3.9
1158,SELECT SPECIALTY HOSPITAL- INDIANAPOLIS,8060 KNUE ROAD,INDIANAPOLIS,IN,46250,PROPRIETARY,45.0,N/A
1159,LAFAYETTE REGIONAL REHABILITATION HOSPITAL,950 PARK EAST BLVD,LAFAYETTE,IN,47905,PROPRIETARY,40.0,4.6
1160,ST VINCENT FISHERS HOSPITAL INC,13861 OLIO ROAD,FISHERS,IN,46037,NON-PROFIT,46.0,3.0
1161,FRANCISCAN ST FRANCIS HEALTH - CARMEL,12188 B NORTH MERIDIAN STREET,CARMEL,IN,46032,NON-PROFIT,6.0,4.3
1162,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,46254,GOVERNMENT - LOCAL,337.0,3.1
1163,"PARK CENTER, INC",1909 CAREW STREET,FORT WAYNE,IN,46805,NON-PROFIT,16.0,2.9
1164,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,7952 W JEFFERSON BLVD,FORT WAYNE,IN,46804,PROPRIETARY,43.0,3.9
1165,ASSURANCE HEALTH PSYCHIATRIC HOSPITAL,2725 ENTERPRISE DRIVE,ANDERSON,IN,46013,PROPRIETARY,22.0,5.0
1166,INDIANA UNIVERSITY HEALTH,1701 N SENATE BLVD,INDIANAPOLIS,IN,46202,NON-PROFIT,1244.0,3.3
1167,ST JOSEPH HOSPITAL & HEALTH CENTER INC,1907 W SYCAMORE ST,KOKOMO,IN,46904,NON-PROFIT,138.0,N/A
1168,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,NON-PROFIT,72.0,2.5
1169,COMMUNITY HEALTH NETWORK REHABILITATION HOSPITAL,7343 CLEARVISTA DRIVE,INDIANAPOLIS,IN,46250,PROPRIETARY,60.0,4.3
1170,MERIDIAN SERVICES CORP,2401 W UNIVERSITY AVE,MUNCIE,IN,47303,NOT AVAILABLE,16.0,N/A
1171,REID HOSPITAL & HEALTH CARE SERVICES,1100 REID PKWY,RICHMOND,IN,47374,NON-PROFIT,221.0,N/A
1172,FOUR COUNTY COUNSELING CENTER,1015 MICHIGAN AVE,LOGANSPORT,IN,46947,GOVERNMENT - LOCAL,15.0,2.4
1173,MEMORIAL HOSPITAL,1101 MICHIGAN AVE,LOGANSPORT,IN,46947,GOVERNMENT - LOCAL,83.0,4.5
1174,CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130,GOVERNMENT - LOCAL,236.0,2.8
1175,KENTUCKIANA MEDICAL CENTER LLC,4601 MEDICAL PLAZA WAY,CLARKSVILLE,IN,47129,PROPRIETARY,42.0,N/A
1176,PORTER REGIONAL HOSPITAL,85 EAST US HWY 6,VALPARAISO,IN,46383,PROPRIETARY,301.0,2.7
1177,PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,LAGRANGE,IN,46761,NON-PROFIT,25.0,3.6
1178,DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN,46825,PROPRIETARY,131.0,3.7
1179,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,PROPRIETARY,396.0,3.4
1180,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,11130 PARKVIEW CIRCLE DR,FORT WAYNE,IN,46845,PROPRIETARY,37.0,3.9
1181,PARKVIEW REGIONAL MEDICAL CENTER,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,IN,46805,NON-PROFIT,650.0,3.8
1182,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN,46733,GOVERNMENT - LOCAL,35.0,3.2
1183,COLUMBUS REGIONAL HOSPITAL,2400 E 17TH ST,COLUMBUS,IN,47201,GOVERNMENT - LOCAL,198.0,N/A
1184,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN,47348,NON-PROFIT,15.0,2.5
1185,MARGARET MARY HEALTH,321 MITCHELL AVE,BATESVILLE,IN,47006,NON-PROFIT,25.0,4.4
1186,COMMUNITY MENTAL HEALTH CENTER INC,285 BIELBY RD,LAWRENCEBURG,IN,47025,NON-PROFIT,16.0,5.0
1187,DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,GOVERNMENT - LOCAL,88.0,3.0
1188,DAVIESS COMMUNITY HOSPITAL,1314 E WALNUT ST,WASHINGTON,IN,47501,GOVERNMENT - LOCAL,80.0,2.5
1189,PARKVIEW NOBLE HOSPITAL,401 SAWYER RD,KENDALLVILLE,IN,46755,NON-PROFIT,31.0,3.3
1190,DEACONESS HOSPITAL INC,600 MARY ST,EVANSVILLE,IN,47747,NON-PROFIT,509.0,N/A
1191,EVANSVILLE PSYCHIATRIC CHILDREN'S CENTER,3300 E MORGAN AVE,EVANSVILLE,IN,47715,GOVERNMENT - STATE,-999.0,5.0
1192,EVANSVILLE STATE HOSPITAL,3400 LINCOLN AVENUE,EVANSVILLE,IN,47714,GOVERNMENT - STATE,168.0,3.8
1193,HEALTHSOUTH DEACONESS REHABILITATION HOSPITAL,4100 COVERT AVE,EVANSVILLE,IN,47714,PROPRIETARY,103.0,N/A
1194,HAMILTON CENTER INC,620 8TH AVE,TERRE HAUTE,IN,47804,GOVERNMENT - STATE,16.0,N/A
1195,IU HEALTH GOSHEN HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN,46526,NON-PROFIT,120.0,3.2
1196,OAKLAWN PSYCHIATRIC CENTER INC,330 LAKEVIEW DR,GOSHEN,IN,46527,NON-PROFIT,16.0,N/A
1197,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,IN,47546,NON-PROFIT,123.0,3.4
1198,DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,IN,46706,NON-PROFIT,56.0,N/A
1199,DECATUR COUNTY MEMORIAL HOSPITAL,720 N LINCOLN ST,GREENSBURG,IN,47240,GOVERNMENT - LOCAL,25.0,2.9
1200,NORTHEASTERN CENTER,1850 WESLEY RD,AUBURN,IN,46706,NOT AVAILABLE,16.0,N/A
1201,CENTRAL INDIANA AMG SPECIALTY HOSPITAL LLC,"2401 W UNIVERSITY AVE,8TH FL",MUNCIE,IN,47303,PROPRIETARY,16.0,5.0
1202,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2401 UNIVERSITY AVE,MUNCIE,IN,47303,NON-PROFIT,379.0,2.9
1203,FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE,1201 HADLEY RD,MOORESVILLE,IN,46158,NON-PROFIT,115.0,2.8
1204,DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU,IN,46970,PROPRIETARY,25.0,2.8
1205,FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933,NON-PROFIT,103.0,2.6
1206,BLOOMINGTON MEADOWS HOSPITAL,3600 N PROW RD,BLOOMINGTON,IN,47404,PROPRIETARY,71.0,2.0
1207,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,601 W SECOND ST,BLOOMINGTON,IN,47403,NON-PROFIT,297.0,2.7
1208,MONROE HOSPITAL,4011 S MONROE MEDICAL PARK BLVD,BLOOMINGTON,IN,47403,PROPRIETARY,-999.0,2.5
1209,KOSCIUSKO COMMUNITY HOSPITAL,2101 E DUBOIS DR,WARSAW,IN,46580,PROPRIETARY,72.0,4.1
1210,BRENTWOOD MEADOWS LLC,4488 ROSLIN RD,NEWBURGH,IN,47630,PROPRIETARY,48.0,4.1
1211,BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,BLUFFTON,IN,46714,PROPRIETARY,79.0,3.0
1212,COMMUNITY HOSPITAL,901 MACARTHUR BLVD,MUNSTER,IN,46321,NON-PROFIT,458.0,4.0
1213,FRANCISCAN PHYSICIANS HOSPITAL LLC,701 SUPERIOR AVE,MUNSTER,IN,46321,NON-PROFIT,63.0,3.2
1214,FRANCISCAN ST ANTHONY HEALTH - CROWN POINT,1201 S MAIN ST,CROWN POINT,IN,46307,NON-PROFIT,183.0,3.0
1215,FRANCISCAN ST MARGARET HEALTH - DYER,24 JOLIET ST,DYER,IN,46311,NON-PROFIT,198.0,N/A
1216,FRANCISCAN ST MARGARET HEALTH - HAMMOND,5454 HOHMAN AVE,HAMMOND,IN,46320,NON-PROFIT,215.0,2.5
1217,FRANCISCAN HEALTHCARE RENSSLAER,1104 E GRACE ST,RENSSELAER,IN,47978,GOVERNMENT - LOCAL,46.0,2.7
1218,KINDRED HOSPITAL NORTHWEST INDIANA,"5454 HOHMAN AVE,5TH FL",HAMMOND,IN,46320,PROPRIETARY,215.0,3.9
1219,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,NON-PROFIT,536.0,N/A
1220,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,PROPRIETARY,18.0,3.6
1221,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,1701 S CREASY LN,LAFAYETTE,IN,47905,NON-PROFIT,186.0,3.1
1222,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,642 W HOSPITAL RD,PAOLI,IN,47454,NON-PROFIT,24.0,3.3
1223,BHC VALLE VISTA HOSPITAL,898 E MAIN ST,GREENWOOD,IN,46143,PROPRIETARY,98.0,2.3
1224,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,GOVERNMENT - LOCAL,125.0,3.0
1225,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,1000 S MAIN ST,TIPTON,IN,46072,NON-PROFIT,25.0,2.9
1226,CAMERON MEMORIAL COMMUNITY HOSPITAL INC,416 E MAUMEE ST,ANGOLA,IN,46703,NON-PROFIT,25.0,3.2
1227,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE,IN,47905,NON-PROFIT,191.0,3.0
1228,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY,301 W HOMER ST,MICHIGAN CITY,IN,46360,NON-PROFIT,150.0,2.5
1229,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,1007 LINCOLNWAY,LA PORTE,IN,46350,NON-PROFIT,227.0,3.5
1230,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,2900 W 16TH ST,BEDFORD,IN,47421,NON-PROFIT,25.0,3.0
1231,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1515 N MADISON AVE,ANDERSON,IN,46011,NON-PROFIT,137.0,N/A
1232,MEMORIAL HOSPITAL OF SOUTH BEND,615 N MICHIGAN ST,SOUTH BEND,IN,46601,NON-PROFIT,416.0,N/A
1233,INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,102 E CULVER RD,KNOX,IN,46534,PROPRIETARY,53.0,3.0
1234,A ROSIE PLACE,53131 QUINCE RD,SOUTH BEND,IN,46628,NON-PROFIT,10.0,5.0
1235,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,47591,GOVERNMENT - LOCAL,175.0,3.3
1236,HANCOCK REGIONAL HOSPITAL,801 N STATE ST,GREENFIELD,IN,46140,GOVERNMENT - LOCAL,68.0,4.2
1237,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN,47441,GOVERNMENT - LOCAL,25.0,3.1
1238,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,11700 N MERIDIAN ST,CARMEL,IN,46032,NON-PROFIT,149.0,3.5
1239,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,NON-PROFIT,25.0,2.1
1240,"GRANT-BLACKFORD MENTAL HEALTH, INC",505 WABASH AVE,MARION,IN,46952,NOT AVAILABLE,16.0,3.1
1241,MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION,IN,46952,NON-PROFIT,97.0,2.6
1242,COMMUNITY HOSPITAL OF BREMEN INC,1020 HIGH RD,BREMEN,IN,46506,NON-PROFIT,24.0,2.7
1243,DOCTORS NEUROPSYCHIATRIC HOSPITAL,417 S WHITLOCK ST,BREMEN,IN,46506,PROPRIETARY,37.0,2.3
1244,MICHIANA BEHAVIORAL HEALTH CENTER,1800 N OAK RD,PLYMOUTH,IN,46563,PROPRIETARY,51.0,3.1
1245,PARKVIEW HUNTINGTON HOSPITAL,2001 STULTS RD,HUNTINGTON,IN,46750,NON-PROFIT,36.0,3.2
1246,FAYETTE REGIONAL HEALTH SYSTEM,1941 VIRGINIA AVE,CONNERSVILLE,IN,47331,NON-PROFIT,99.0,2.1
1247,PARKVIEW WHITLEY HOSPITAL,1260 E SR 205,COLUMBIA CITY,IN,46725,NON-PROFIT,30.0,2.7
1248,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,720 SOUTH SIXTH ST,MONTICELLO,IN,47960,NON-PROFIT,25.0,N/A
1249,COMMUNITY HOSPITAL EAST,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,PROPRIETARY,335.0,2.9
1250,COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS,IN,46256,NON-PROFIT,339.0,3.5
1251,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,PROPRIETARY,158.0,3.1
1252,FAIRBANKS,8102 CLEARVISTA PARKWAY,INDIANAPOLIS,IN,46256,NON-PROFIT,-999.0,3.4
1253,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,IN,46237,NON-PROFIT,485.0,3.3
1254,KINDRED HOSPITAL INDIANAPOLIS,1700 W 10TH ST,INDIANAPOLIS,IN,46222,PROPRIETARY,59.0,4.7
1255,LARUE D CARTER MEMORIAL HOSPITAL,2601 COLD SPRING RD,INDIANAPOLIS,IN,46222,GOVERNMENT - STATE,159.0,4.0
1256,OPTIONS BEHAVIORAL HEALTH SYSTEM,5602 CAITO DRIVE,INDIANAPOLIS,IN,46226,PROPRIETARY,56.0,3.1
1257,MADISON STATE HOSPITAL,711 GREEN RD,MADISON,IN,47250,GOVERNMENT - STATE,150.0,2.8
1258,JAY COUNTY HOSPITAL,500 W VOTAW ST,PORTLAND,IN,47371,GOVERNMENT - LOCAL,35.0,2.7
1259,HENRY COUNTY MEMORIAL HOSPITAL,1000 N 16TH ST,NEW CASTLE,IN,47362,GOVERNMENT - LOCAL,90.0,3.1
1260,COMMUNITY HOWARD REGIONAL HEALTH INC,3500 S LAFOUNTAIN ST,KOKOMO,IN,46904,NON-PROFIT,86.0,2.5
1261,COMMUNITY HOWARD SPECIALTY HOSPITAL,829 N DIXON RD,KOKOMO,IN,46901,PROPRIETARY,30.0,3.9
1262,HARRISON COUNTY HOSPITAL,1141 HOSPITAL DR NW,CORYDON,IN,47112,GOVERNMENT - LOCAL,25.0,2.8
1263,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,GOVERNMENT - LOCAL,160.0,N/A
1264,INDIANA UNIVERSITY HEALTH WEST HOSPITAL,1111 N RONALD REAGAN PKWY,AVON,IN,46123,NON-PROFIT,127.0,2.8
1265,FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,1850 STATE ST,NEW ALBANY,IN,47150,GOVERNMENT - LOCAL,225.0,N/A
1266,PHYSICIANS' MEDICAL CENTER LLC,4023 REAS LN,NEW ALBANY,IN,47150,GOVERNMENT - STATE,12.0,4.0
1267,WITHAM HEALTH SERVICES,2605 N LEBANON ST,LEBANON,IN,46052,GOVERNMENT - LOCAL,52.0,3.4
1268,WELLSTONE REGIONAL HOSPITAL,2700 VISSING PARK RD,JEFFERSONVILLE,IN,47130,PROPRIETARY,100.0,2.7
1269,PORTER-STARKE SERVICES INC,701 WALL ST,VALPARAISO,IN,46383,PROPRIETARY,16.0,3.3
1270,REHABILITATION HOSPITAL OF FORT WAYNE GENERAL PAR,7970 W JEFFERSON BLVD,FORT WAYNE,IN,46804,PROPRIETARY,36.0,4.2
1271,ST JOSEPH HOSPITAL,700 BROADWAY,FORT WAYNE,IN,46802,PROPRIETARY,145.0,3.6
1272,RUSH MEMORIAL HOSPITAL,1300 N MAIN ST,RUSHVILLE,IN,46173,GOVERNMENT - LOCAL,25.0,2.7
1273,PULASKI MEMORIAL HOSPITAL,616 E 13TH ST,WINAMAC,IN,46996,GOVERNMENT - LOCAL,25.0,2.7
1274,ST VINCENT CLAY HOSPITAL INC,1206 E NATIONAL AVE,BRAZIL,IN,47834,NON-PROFIT,25.0,2.5
1275,ST VINCENT FRANKFORT HOSPITAL INC,1300 S JACKSON ST,FRANKFORT,IN,46041,NON-PROFIT,25.0,N/A
1276,ST MARY'S MEDICAL CENTER OF EVANSVILLE INC,3700 WASHINGTON AVE,EVANSVILLE,IN,47750,NON-PROFIT,426.0,3.2
1277,UNION HOSPITAL CLINTON,801 S MAIN ST,CLINTON,IN,47842,NON-PROFIT,25.0,3.0
1278,TERRE HAUTE REGIONAL HOSPITAL,3901 S SEVENTH ST,TERRE HAUTE,IN,47802,PROPRIETARY,278.0,4.1
1279,UNION HOSPITAL INC,1606 N SEVENTH ST,TERRE HAUTE,IN,47804,NON-PROFIT,211.0,N/A
1280,PARKVIEW WABASH HOSPITAL,710 N EAST ST,WABASH,IN,46992,GOVERNMENT - LOCAL,25.0,3.7
1281,ST MARY'S WARRICK HOSPITAL INC,1116 MILLIS AVE,BOONVILLE,IN,47601,NON-PROFIT,35.0,N/A
1282,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,4007 GATEWAY BLVD,NEWBURGH,IN,47630,PROPRIETARY,24.0,3.6
